well,field,value
49-005-53572,Butcher,10
49-005-53573,Butcher,10
49-005-53574,Butcher,10
49-005-53583,Butcher,10
49-005-53584,Butcher,10
49-005-53585,Butcher,10
49-005-53586,Butcher,10
49-005-53587,Butcher,10
49-005-53590,Butcher,10
49-005-53591,Butcher,10
49-005-53592,Butcher,10
49-005-53593,Butcher,10
49-005-53594,Butcher,10
49-005-53595,Butcher,10
49-005-53598,Butcher,10
49-005-53599,Butcher,10
49-005-53600,Butcher,10
49-005-53601,Butcher,10
49-005-53602,Butcher,10
49-005-53603,Butcher,10
49-005-53604,Butcher,10
49-005-53606,Butcher,10
49-005-53607,Butcher,10
49-005-53610,Butcher,10
49-005-53618,Butcher,10
49-005-53619,Butcher,10
49-005-53620,Butcher,10
49-005-53627,Butcher,10
49-005-53628,Butcher,10
49-005-53629,Butcher,10
49-005-53630,Butcher,10
49-005-53631,Butcher,10
49-005-53640,Butcher,10
49-005-53641,Butcher,10
49-005-53643,Butcher,10
49-005-53644,Butcher,10
49-005-53645,Butcher,10
49-005-53646,Butcher,10
49-005-53647,Butcher,10
49-005-53649,Butcher,10
49-005-53650,Butcher,10
49-005-53651,Butcher,10
49-005-53652,Butcher,10
49-005-53654,Wildcat,10
49-005-53657,Wildcat,10
49-005-53659,Pearson Draw,10
49-005-53660,Pearson Draw,10
49-005-53661,Pearson Draw,10
49-005-53697,Butcher,10
49-005-53702,Butcher,10
49-005-53705,Butcher,10
49-005-53707,Butcher,10
49-005-53733,Dallas,10
49-005-53734,Dallas,10
49-005-53735,Dallas,10
49-005-53736,Dallas,10
49-005-53737,Dallas,10
49-005-53738,Dallas,10
49-005-53739,Dallas,10
49-005-53740,Dallas,10
49-005-53741,Pebble Beach,10
49-005-53742,Pebble Beach,10
49-005-53750,Winter Park,10
49-005-53753,Winter Park,10
49-005-53777,Dry Willow,10
49-005-53785,Dry Willow,10
49-005-53787,Dry Willow,10
49-005-53789,Dry Willow,10
49-005-53790,Dry Willow,10
49-005-53962,West Pine Tree,10
49-005-54153,Pebble Beach,10
49-005-54154,Pebble Beach,10
49-005-54171,Winter Park,10
49-005-54172,Winter Park,10
49-005-54273,Wildcat,10
49-005-54274,Wildcat,10
49-005-54277,Wildcat,10
49-005-54279,Wildcat,10
49-005-54280,Wildcat,10
49-005-54282,Wildcat,10
