apicode,primary_screw,recip,sales_delivery_point
"49-019-24210","Deer Gulch","Falcon","Fort Union"
"49-019-24211","Deer Gulch","Falcon","Fort Union"
"49-019-24213","Deer Gulch","Falcon","Fort Union"
"49-019-24214","Deer Gulch","Falcon","Fort Union"
"49-019-24215","Deer Gulch","Falcon","Fort Union"
"49-019-24216","Deer Gulch","Falcon","Fort Union"
"49-019-24217","Deer Gulch","Falcon","Fort Union"
"49-019-24218","Deer Gulch","Falcon","Fort Union"
"49-019-24219","Deer Gulch","Falcon","Fort Union"
"49-019-24220","Deer Gulch","Falcon","Fort Union"
"49-019-24221","Deer Gulch","Falcon","Fort Union"
"49-019-24222","Deer Gulch","Falcon","Fort Union"
"49-019-24223","Deer Gulch","Falcon","Fort Union"
"49-019-24224","Deer Gulch","Falcon","Fort Union"
"49-019-24225","Deer Gulch","Falcon","Fort Union"
"49-019-24226","Deer Gulch","Falcon","Fort Union"
"49-019-24227","Bridge Draw","Flying Creek","Fort Union"
"49-019-24228","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24229","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24230","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24231","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24232","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24233","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24234","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24235","Gus","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24236","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24237","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24238","Crow","Indian Creek","Fort Union"
"49-019-24239","Crow","Indian Creek","Fort Union"
"49-019-24240","Crow","Indian Creek","Fort Union"
"49-019-24241","Citation","Falcon","Fort Union"
"49-019-24242","Citation","Falcon","Fort Union"
"49-019-24243","Citation","Falcon","Fort Union"
"49-019-24244","Citation","Falcon","Fort Union"
"49-019-24245","Citation","Falcon","Fort Union"
"49-019-24246","Citation","Falcon","Fort Union"
"49-019-24247","Citation","Falcon","Fort Union"
"49-019-24248","Citation","Falcon","Fort Union"
"49-019-24249","Citation","Falcon","Fort Union"
"49-019-24250","Cessna","Falcon","Fort Union"
"49-019-24251","Cessna","Falcon","Fort Union"
"49-019-24252","Cessna","Falcon","Fort Union"
"49-019-24254","Cessna","Falcon","Fort Union"
"49-019-24255","Glasair","Legacy","Fort Union"
"49-019-24256","Cessna","Falcon","Fort Union"
"49-019-24257","Deer Gulch","Falcon","Fort Union"
"49-019-24258","Deer Gulch","Falcon","Fort Union"
"49-019-24259","Deer Gulch","Falcon","Fort Union"
"49-019-24260","Cessna","Falcon","Fort Union"
"49-019-24262","Bridge Draw","Flying Creek","Fort Union"
"49-019-24263","Cessna","Falcon","Fort Union"
"49-019-24264","Bridge Draw","Flying Creek","Fort Union"
"49-019-24265","Bridge Draw","Flying Creek","Fort Union"
"49-019-24266","Bridge Draw","Flying Creek","Fort Union"
"49-019-24267","Deer Gulch","Falcon","Fort Union"
"49-019-24268","Deer Gulch","Falcon","Fort Union"
"49-019-24269","Deer Gulch","Falcon","Fort Union"
"49-019-24270","Bridge Draw","Flying Creek","Fort Union"
"49-019-24271","Bridge Draw","Flying Creek","Fort Union"
"49-019-24281","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24282","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24283","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24284","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24285","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24286","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24287","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24288","Lucifer","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24289","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24290","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24291","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24292","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24293","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24295","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24296","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24297","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24298","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24299","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24300","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24301","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24302","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24303","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24304","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24305","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24306","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24307","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24308","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24309","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24310","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24311","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24312","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24313","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24314","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24315","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24316","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24317","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24318","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24319","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24320","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24321","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24322","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24323","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24324","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24325","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24326","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24327","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24328","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24329","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24330","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24331","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24332","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24333","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24334","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24335","Bruno","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24336","Cinderella","Jaq/Newport/Pumpkin","Fort Union"
"49-019-24337","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24338","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24339","Kessler","Whiskey Draw","Fort Union"
"49-019-24340","Kessler","Whiskey Draw","Fort Union"
"49-019-24341","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24342","Kessler","Whiskey Draw","Fort Union"
"49-019-24343","Dewars","Whiskey Draw","Fort Union"
"49-019-24344","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24345","Dewars","Whiskey Draw","Fort Union"
"49-019-24346","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24347","Dewars","Whiskey Draw","Fort Union"
"49-019-24348","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24349","Dewars","Whiskey Draw","Fort Union"
"49-019-24350","Dewars","Whiskey Draw","Fort Union"
"49-019-24352","Dewars","Whiskey Draw","Fort Union"
"49-019-24353","Dewars","Whiskey Draw","Fort Union"
"49-019-24355","Dewars","Whiskey Draw","Fort Union"
"49-019-24356","Dewars","Whiskey Draw","Fort Union"
"49-019-24357","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24358","Dewars","Whiskey Draw","Fort Union"
"49-019-24359","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24360","Dewars","Whiskey Draw","Fort Union"
"49-019-24361","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24362","Kessler","Whiskey Draw","Fort Union"
"49-019-24363","Kessler","Whiskey Draw","Fort Union"
"49-019-24364","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24365","Kessler","Whiskey Draw","Fort Union"
"49-019-24366","Kessler","Whiskey Draw","Fort Union"
"49-019-24367","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24368","Kessler","Whiskey Draw","Fort Union"
"49-019-24369","Kessler","Whiskey Draw","Fort Union"
"49-019-24370","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24371","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24372","Juniper Draw","Juniper Draw 1","Thunder Creek"
"49-019-24376","Kessler","Whiskey Draw","Fort Union"
"49-019-24377","Kessler","Whiskey Draw","Fort Union"
"49-019-24378","Kessler","Whiskey Draw","Fort Union"
"49-019-24379","Kessler","Whiskey Draw","Fort Union"
"49-019-24380","Kessler","Whiskey Draw","Fort Union"
"49-019-24381","Kessler","Whiskey Draw","Fort Union"
"49-019-24383","Kessler","Whiskey Draw","Fort Union"
"49-019-24384","Kessler","Whiskey Draw","Fort Union"
"49-019-24385","Kessler","Whiskey Draw","Fort Union"
"49-019-24386","Kessler","Whiskey Draw","Fort Union"
"49-019-24387","Kessler","Whiskey Draw","Fort Union"
"49-019-24389","Kessler","Whiskey Draw","Fort Union"
"49-019-24392","Kessler","Whiskey Draw","Fort Union"
"49-019-24393","Kessler","Whiskey Draw","Fort Union"
"49-019-24394","Kessler","Whiskey Draw","Fort Union"
"49-019-24395","Kessler","Whiskey Draw","Fort Union"
"49-019-24398","Dewars","Whiskey Draw","Fort Union"
"49-019-24399","Dewars","Whiskey Draw","Fort Union"
"49-019-24400","Dewars","Whiskey Draw","Fort Union"
"49-019-24402","Dewars","Whiskey Draw","Fort Union"
"49-019-24403","Dewars","Whiskey Draw","Fort Union"
"49-019-24404","Kessler","Whiskey Draw","Fort Union"
"49-019-24405","Kessler","Whiskey Draw","Fort Union"
"49-019-24406","Dewars","Whiskey Draw","Fort Union"
"49-019-24407","Kessler","Whiskey Draw","Fort Union"
"49-019-24408","Dewars","Whiskey Draw","Fort Union"
"49-019-24409","Kessler","Whiskey Draw","Fort Union"
"49-019-24410","Kessler","Whiskey Draw","Fort Union"
"49-019-24411","Dewars","Whiskey Draw","Fort Union"
"49-019-24412","Dewars","Whiskey Draw","Fort Union"
"49-019-24413","Dewars","Whiskey Draw","Fort Union"
"49-019-24477","Nile/Congo","Amazon/River","Fort Union"
"49-019-24478","Nile/Congo","Amazon/River","Fort Union"
"49-019-24479","Nile/Congo","Amazon/River","Fort Union"
"49-019-24480","Nile/Congo","Amazon/River","Fort Union"
"49-019-24481","Nile/Congo","Amazon/River","Fort Union"
"49-019-24482","Nile/Congo","Amazon/River","Fort Union"
"49-019-24483","Nile/Congo","Amazon/River","Fort Union"
"49-019-24484","Nile/Congo","Amazon/River","Fort Union"
"49-019-24485","Nile/Congo","Amazon/River","Fort Union"
"49-019-24486","Nile/Congo","Amazon/River","Fort Union"
"49-019-24487","Nile/Congo","Amazon/River","Fort Union"
"49-019-24488","Nile/Congo","Amazon/River","Fort Union"
"49-019-24489","Nile/Congo","Amazon/River","Fort Union"
"49-019-24490","Nile/Congo","Amazon/River","Fort Union"
"49-019-24491","Nile/Congo","Amazon/River","Fort Union"
"49-019-24492","Nile/Congo","Amazon/River","Fort Union"
"49-019-24493","Nile/Congo","Amazon/River","Fort Union"
"49-019-24494","Nile/Congo","Amazon/River","Fort Union"
